Network	Sample	Split	path	TF 	p-value	percent on path
Physical	embryos0-2hr	1	H	tin	5.04909E-27	59.65909091
Physical	embryos0-2hr	1	H	en	3.2633E-05	52.5
Physical	embryos0-2hr	1	H	bap	1.12843E-06	50.81967213
Physical	embryos0-2hr	1	H	Mad	4.04561E-05	48.97959184
Physical	embryos0-2hr	1	H	prd	1.61945E-33	48.65525672
Physical	embryos0-2hr	1	H	z	3.23426E-32	47.83653846
Physical	embryos0-2hr	1	H	shn	2.94536E-06	47.82608696
Physical	embryos0-2hr	1	H	bin	1.44477E-17	47.59825328
Physical	embryos0-2hr	1	H	tll	4.48111E-07	47.56097561
Physical	embryos0-2hr	1	H	Mef2	1.89843E-51	46.5248227
Physical	embryos0-2hr	1	H	Pc	1.94718E-29	45.06437768
Physical	embryos0-2hr	1	H	run	2.36538E-16	44.32234432
Physical	embryos0-2hr	1	H	gsb-n	3.71608E-15	44.2687747
Physical	embryos0-2hr	1	H	NELF-B	4.9512E-18	42.00542005
Physical	embryos0-2hr	1	H	bab1	3.75333E-26	40.7345576
Physical	embryos0-2hr	1	H	Nelf-E	9.49882E-11	40.66390041
Physical	embryos0-2hr	1	H	zfh1	2.89158E-06	39.85507246
Physical	embryos0-2hr	1	H	E(z)	1.48079E-18	39.42505133
Physical	embryos0-2hr	1	H	ph-p	8.4457E-17	39.3258427
Physical	embryos0-2hr	1	H	da	7.43967E-44	38.77192982
Physical	embryos0-2hr	1	H	bcd	4.33615E-08	38.53211009
Physical	embryos0-2hr	1	H	Dsp1	1.33138E-16	37.86407767
Physical	embryos0-2hr	1	H	hb	6.62139E-15	37.22334004
Physical	embryos0-2hr	1	H	Kr	3.00279E-32	37.01236917
Physical	embryos0-2hr	1	H	gt	6.64795E-06	36.81318681
Physical	embryos0-2hr	1	H	sxc	5.97612E-07	36.4806867
Physical	embryos0-2hr	1	H	EcR	0.000114386	36.05442177
Physical	embryos0-2hr	1	H	Trl	5.89956E-87	35.78859759
Physical	embryos0-2hr	1	H	Sfmbt	4.91263E-07	35.76923077
Physical	embryos0-2hr	1	H	sna	5.64982E-13	35.10638298
Physical	embryos0-2hr	1	H	disco	1.63681E-10	34.6473029
Physical	embryos0-2hr	1	H	h	2.06332E-21	34.16988417
Physical	embryos0-2hr	1	H	slp1	5.79808E-05	33.94495413
Physical	embryos0-2hr	1	H	twi	9.22094E-33	33.33333333
Physical	embryos0-2hr	1	H	hkb	1.70861E-05	31.10047847
Physical	embryos0-2hr	1	H	D	2.48914E-23	30.89295618
Physical	embryos0-2hr	1	H	mod(mdg4)	8.53111E-12	30.80660836
Physical	embryos0-2hr	1	H	dl	9.24259E-38	30.76923077
Physical	embryos0-2hr	1	H	Med	1.93856E-18	30.53817272
Physical	embryos0-2hr	1	H	gro	0.000247425	28.72928177
Physical	embryos0-2hr	1	H	CG3227	6.95031E-06	28.67737948
Physical	embryos0-2hr	1	H	cad	1.55854E-13	27.27637385
Physical	embryos0-2hr	1	M	su(Hw)	3.35154E-14	66.11295681
Physical	embryos0-2hr	1	L	CBP	1.1895E-106	79.29936306
Physical	embryos0-2hr	1	L	jumu	2.73455E-86	77.77777778
Physical	embryos0-2hr	1	L	Ubx	3.0344E-180	76.01410935
Physical	embryos0-2hr	1	L	ttk	1.80999E-33	69.44444444
Physical	embryos0-2hr	1	L	Snr1	2.38907E-17	68.91891892
Physical	embryos0-2hr	1	L	TfIIB	6.0251E-188	67.38305942
Physical	embryos0-2hr	1	L	phol	2.9765E-247	66.60098522
Physical	embryos0-2hr	1	L	GATAe	2.54532E-34	66.46706587
Physical	embryos0-2hr	1	L	mip120	0	64.90872211
Physical	embryos0-2hr	1	L	pho	1.4139E-187	63.23210412
Physical	embryos0-2hr	1	L	E2f2	5.4174E-155	62.90726817
Physical	embryos0-2hr	1	L	lin-52	1.9441E-130	61.77285319
Physical	embryos0-2hr	1	L	Myb	0	60.03460208
Physical	embryos0-2hr	1	L	kn	1.47758E-20	58.99280576
Physical	embryos0-2hr	1	L	mip130	9.4548E-151	57.8238342
Physical	embryos0-2hr	1	L	BEAF-32	0	57.17054264
Physical	embryos0-2hr	1	L	Med	1.3598E-273	56.19524406
Physical	embryos0-2hr	1	L	Dsp1	4.23008E-65	55.72815534
Physical	embryos0-2hr	1	L	disco	3.5392E-60	55.60165975
Physical	embryos0-2hr	1	L	trx	0	55.34026465
Physical	embryos0-2hr	1	L	brm	6.86378E-10	55.26315789
Physical	embryos0-2hr	1	L	Stat92E	0.000103592	54.83870968
Physical	embryos0-2hr	1	L	hkb	2.22729E-49	54.784689
Physical	embryos0-2hr	1	L	cnc	5.30401E-20	54.70588235
Physical	embryos0-2hr	1	L	kni	7.11941E-05	54.54545455
Physical	embryos0-2hr	1	L	ftz	2.14654E-08	53.62318841
Physical	embryos0-2hr	1	L	D	9.9525E-274	53.13366611
Physical	embryos0-2hr	1	L	h	1.0719E-122	52.7992278
Physical	embryos0-2hr	1	L	Chro	0	51.4084507
Physical	embryos0-2hr	1	L	slp1	2.18235E-20	50.91743119
Physical	embryos0-2hr	1	L	hb	1.24365E-45	50.50301811
Physical	embryos0-2hr	1	L	Nelf-E	1.74617E-21	50.20746888
Physical	embryos0-2hr	1	L	zfh1	1.37044E-12	50
Physical	embryos0-2hr	1	L	CG3227	1.88801E-75	49.9381953
Physical	embryos0-2hr	1	L	Sfmbt	2.88952E-22	49.61538462
Physical	embryos0-2hr	1	L	gt	1.10502E-15	49.45054945
Physical	embryos0-2hr	1	L	NELF-B	2.82405E-29	48.50948509
Physical	embryos0-2hr	1	L	bcd	4.38997E-17	48.16513761
Physical	embryos0-2hr	1	L	E(z)	1.45586E-35	47.22792608
Physical	embryos0-2hr	1	L	dl	0	47.22442506
Physical	embryos0-2hr	1	L	Cp190	0	46.43423138
Physical	embryos0-2hr	1	L	tll	1.85088E-06	46.34146341
Physical	embryos0-2hr	1	L	CTCF	2.3716E-206	45.67669173
Physical	embryos0-2hr	1	L	eve	2.50107E-10	45.22292994
Physical	embryos0-2hr	1	L	shn	3.50165E-05	44.92753623
Physical	embryos0-2hr	1	L	twi	1.9952E-122	44.50549451
Physical	embryos0-2hr	1	L	gsb-n	7.96215E-15	44.2687747
Physical	embryos0-2hr	1	L	z	1.45907E-22	43.50961538
Physical	embryos0-2hr	1	L	run	1.21517E-14	43.22344322
Physical	embryos0-2hr	1	L	sens	6.5167E-192	43.14568113
Physical	embryos0-2hr	1	L	da	7.02057E-61	42.19298246
Physical	embryos0-2hr	1	L	EcR	1.63061E-05	38.0952381
Physical	embryos0-2hr	1	L	Trl	2.3975E-99	36.99542239
Physical	embryos0-2hr	1	L	ph-p	4.09383E-12	36.62921348
Physical	embryos0-2hr	1	L	sna	1.03973E-14	36.34751773
Physical	embryos0-2hr	1	L	mod(mdg4)	7.06058E-28	36.34596696
Physical	embryos0-2hr	1	L	Mef2	2.33622E-18	36.31205674
Physical	embryos0-2hr	1	L	prd	1.27581E-10	36.18581907
Physical	embryos0-2hr	1	L	bin	6.80322E-06	35.37117904
