Regulator	Target
-----------------------
FBgn0003862	FBgn0000100
FBgn0003862	FBgn0023130
FBgn0003862	FBgn0022023
FBgn0003862	FBgn0022029
FBgn0003862	FBgn0022027
FBgn0003862	FBgn0000109
FBgn0003862	FBgn0027843
FBgn0003862	FBgn0027842
FBgn0003862	FBgn0027841
FBgn0003862	FBgn0051005
FBgn0003862	FBgn0011638
FBgn0003862	FBgn0023129
FBgn0003862	FBgn0013981
FBgn0003862	FBgn0013983
FBgn0003862	FBgn0051038
FBgn0003862	FBgn0011606
FBgn0003862	FBgn0013988
FBgn0003862	FBgn0011604
FBgn0003862	FBgn0013984
FBgn0003862	FBgn0027835
FBgn0003862	FBgn0013987
FBgn0003862	FBgn0027836
FBgn0003862	FBgn0051021
FBgn0003862	FBgn0041342
FBgn0003862	FBgn0013997
FBgn0003862	FBgn0013998
FBgn0003862	FBgn0004465
FBgn0003862	FBgn0023171
FBgn0003862	FBgn0023170
FBgn0003862	FBgn0004462
FBgn0003862	FBgn0051057
FBgn0003862	FBgn0004463
FBgn0003862	FBgn0051054
FBgn0003862	FBgn0022063
FBgn0003862	FBgn0015402
FBgn0003862	FBgn0023177
FBgn0003862	FBgn0023172
FBgn0003862	FBgn0023175
FBgn0003862	FBgn0023174
FBgn0003862	FBgn0051053
FBgn0003862	FBgn0022069
FBgn0003862	FBgn0062442
FBgn0003862	FBgn0051048
FBgn0003862	FBgn0024291
FBgn0003862	FBgn0004456
FBgn0003862	FBgn0062440
FBgn0003862	FBgn0023167
FBgn0003862	FBgn0062449
FBgn0003862	FBgn0013972
FBgn0003862	FBgn0027885
FBgn0003862	FBgn0086558
FBgn0003862	FBgn0027889
FBgn0003862	FBgn0013973
FBgn0003862	FBgn0023169
FBgn0003862	FBgn0051040
FBgn0003862	FBgn0051041
FBgn0003862	FBgn0062413
FBgn0003862	FBgn0022085
FBgn0003862	FBgn0051076
FBgn0003862	FBgn0024285
FBgn0003862	FBgn0027873
FBgn0003862	FBgn0027872
FBgn0003862	FBgn0004449
FBgn0003862	FBgn0051075
FBgn0003862	FBgn0051072
FBgn0003862	FBgn0004430
FBgn0003862	FBgn0004435
FBgn0003862	FBgn0004432
FBgn0003862	FBgn0027864
FBgn0003862	FBgn0027865
FBgn0003862	FBgn0024273
FBgn0003862	FBgn0022070
FBgn0003862	FBgn0024277
FBgn0003862	FBgn0023143
FBgn0003862	FBgn0086532
FBgn0003862	FBgn0013955
FBgn0003862	FBgn0013954
FBgn0003862	FBgn0027868
FBgn0003862	FBgn0027866
FBgn0003862	FBgn0004436
FBgn0003862	FBgn0051064
FBgn0003862	FBgn0004425
FBgn0003862	FBgn0016978
FBgn0003862	FBgn0016977
FBgn0003862	FBgn0030530
FBgn0003862	FBgn0016970
FBgn0003862	FBgn0051098
FBgn0003862	FBgn0004419
FBgn0003862	FBgn0043364
FBgn0003862	FBgn0043362
FBgn0003862	FBgn0016984
FBgn0003862	FBgn0016983
FBgn0003862	FBgn0024252
FBgn0003862	FBgn0030545
FBgn0003862	FBgn0024251
FBgn0003862	FBgn0024250
FBgn0003862	FBgn0022097
FBgn0003862	FBgn0004406
FBgn0003862	FBgn0004404
FBgn0003862	FBgn0004403
FBgn0003862	FBgn0004407
FBgn0003862	FBgn0030511
FBgn0003862	FBgn0023197
FBgn0003862	FBgn0030512
FBgn0003862	FBgn0024244
FBgn0003862	FBgn0024245
FBgn0003862	FBgn0030519
FBgn0003862	FBgn0030518
FBgn0003862	FBgn0004401
FBgn0003862	FBgn0030514
FBgn0003862	FBgn0004400
FBgn0003862	FBgn0024238
FBgn0003862	FBgn0044871
FBgn0003862	FBgn0024236
FBgn0003862	FBgn0011692
FBgn0003862	FBgn0024230
FBgn0003862	FBgn0030522
FBgn0003862	FBgn0030521
FBgn0003862	FBgn0030520
FBgn0003862	FBgn0024234
