2647	Non-redundant exon creation from 14 stages	2647_C_elegans_nrexon_v2.0.ws220.gff3.gz	/modencode/data/all_files/cele-interpreted-2/2647_C_elegans_nrexon_v2.0.ws220.gff3.gz	Cele_WS220	mRNA	RNA-seq	gene-model_gff3	total-RNA	Developmental-Stage_all stages	RNA-seq	all			Cele_WS220	modENCODE_2647	total-RNA;Developmental-Stage_all stages;RNA-seq;Rep-1;Cele_WS220;modENCODE_2647.gff3	total-RNA;Developmental-Stage_all-stages;RNA-seq;Rep-1;Cele_WS220;modENCODE_2647gff3;2647_C_elegans_nrexon_v2.0.ws220.gff3	total-RNA			all stages			Robert Waterston
2675	MB annotation 8	2675_dm3_run12.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2675_dm3_run12.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	transcript	Developmental-Stage_all stages	integrated-gene-model	all			Dmel_r5.32	modENCODE_2675	transcript;Developmental-Stage_all stages;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2675.gff3	transcript;Developmental-Stage_all-stages;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2675gff3;2675_dm3_run12.gff3	transcript			all stages			Susan Celniker
2688	Splice Junction Annotation D. melanogaster Embryo 0-2h	2688_BS40_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2688_BS40_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_Embryo 0-2h	integrated-gene-model	all			Dmel_r5.32	modENCODE_2688	total-RNA;Strain_Y cn bw sp;Developmental-Stage_Embryo 0-2h;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2688.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_Embryo-0-2h;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2688gff3;2688_BS40_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		Embryo 0-2h			Susan Celniker
2689	Splice Junction Annotation D. melanogaster Embryo 2-4h	2689_BS43_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2689_BS43_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_Embryo 2-4h	integrated-gene-model	all			Dmel_r5.32	modENCODE_2689	total-RNA;Strain_Y cn bw sp;Developmental-Stage_Embryo 2-4h;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2689.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_Embryo-2-4h;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2689gff3;2689_BS43_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		Embryo 2-4h			Susan Celniker
2690	Splice Junction Annotation D. melanogaster Embryo 4-6h	2690_BS46_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2690_BS46_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_Embryo 4-6h	integrated-gene-model	all			Dmel_r5.32	modENCODE_2690	total-RNA;Strain_Y cn bw sp;Developmental-Stage_Embryo 4-6h;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2690.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_Embryo-4-6h;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2690gff3;2690_BS46_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		Embryo 4-6h			Susan Celniker
2691	Splice Junction Annotation D. melanogaster Embryo 6-8h	2691_BS49_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2691_BS49_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_Embryo 6-8h	integrated-gene-model	all			Dmel_r5.32	modENCODE_2691	total-RNA;Strain_Y cn bw sp;Developmental-Stage_Embryo 6-8h;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2691.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_Embryo-6-8h;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2691gff3;2691_BS49_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		Embryo 6-8h			Susan Celniker
2692	Splice Junction Annotation D. melanogaster Embryo 8-10h	2692_BS54_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2692_BS54_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_Embryo 8-10h	integrated-gene-model	all			Dmel_r5.32	modENCODE_2692	total-RNA;Strain_Y cn bw sp;Developmental-Stage_Embryo 8-10h;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2692.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_Embryo-8-10h;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2692gff3;2692_BS54_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		Embryo 8-10h			Susan Celniker
2693	Splice Junction Annotation D. melanogaster Embryo 10-12h	2693_BS55_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2693_BS55_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_Embryo 10-12h	integrated-gene-model	all			Dmel_r5.32	modENCODE_2693	total-RNA;Strain_Y cn bw sp;Developmental-Stage_Embryo 10-12h;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2693.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_Embryo-10-12h;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2693gff3;2693_BS55_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		Embryo 10-12h			Susan Celniker
2694	Splice Junction Annotation D. melanogaster Embryo 12-14h	2694_BS58_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2694_BS58_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_Embryo 12-14h	integrated-gene-model	all			Dmel_r5.32	modENCODE_2694	total-RNA;Strain_Y cn bw sp;Developmental-Stage_Embryo 12-14h;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2694.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_Embryo-12-14h;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2694gff3;2694_BS58_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		Embryo 12-14h			Susan Celniker
2695	Splice Junction Annotation D. melanogaster Embryo 14-16h	2695_BS62_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2695_BS62_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_Embryo 14-16h	integrated-gene-model	all			Dmel_r5.32	modENCODE_2695	total-RNA;Strain_Y cn bw sp;Developmental-Stage_Embryo 14-16h;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2695.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_Embryo-14-16h;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2695gff3;2695_BS62_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		Embryo 14-16h			Susan Celniker
