FBtr	FBgn	gene	intervals(v5)	strand	RT length (codons)
FBtr0070181	FBgn0040397	CG3655-RA	chrX:969437-969535	-	33
FBtr0070191	FBgn0040344	CG3711-RA	chrX:818178-818246	-	23
FBtr0070244	FBgn0028550	A3-3-RA	chrX:1140323-1140547	-	75
FBtr0070247	FBgn0026875	CG3638-RC	chrX:1112994-1113737	-	248
FBtr0070261	FBgn0000210	br-RC	chrX:1542747-1543139	+	131
FBtr0070435	FBgn0004050	z-RA	chrX:2344241-2344330	+	30
FBtr0070672	FBgn0000179	bi-RA	chrX:4377659-4377811	+	51
FBtr0070691	FBgn0011277	HLH4C-RA	chrX:4539825-4539896	-	24
FBtr0070704	FBgn0011760	ctp-RB	chrX:4592492-4593025	+	178
FBtr0071185	FBgn0030017	CG2278-RA	chrX:8061822-8061986	-	55
FBtr0071381	FBgn0020378	Sp1-RB	chrX:9649303-9649335	+	11
FBtr0071622	FBgn0034606	CG18375-RA	chr2R:17106377-17106454	-	26
FBtr0071632	FBgn0050389	CG30389-RA	chr2R:17036759-17036845	-	29
FBtr0071660	FBgn0034643	CG10321-RA	chr2R:17525417-17525476	+	20
FBtr0071837	FBgn0034738	Dnr1-RA	chr2R:18451565-18451624	-	20
FBtr0071917	FBgn0028371	jbug-RD	chr2R:18605079-18605183	-	35
FBtr0071924	FBgn0020257	ppa-RA	chr2R:18574538-18574609	-	24
FBtr0072074	FBgn0034886	Pde8-RA	chr2R:19566213-19566317	+	35
FBtr0072148	FBgn0029105	alpha-catenin-related-RA	chr2R:19848860-19848928	+	23
FBtr0072290	FBgn0002787	Mov34-RA	chr2R:20291797-20291856	+	20
FBtr0072298	FBgn0035010	CG13579-RA	chr2R:20376971-20377168	+	66
FBtr0072456	FBgn0003715	Tkr-RA	chr2R:20974140-20974430	-	97
FBtr0072567	FBgn0003749	trh-RA	chr3L:367390-367581	-	64
FBtr0072577	FBgn0035155	RabX6-RA	chr3L:691411-691437	+	9
FBtr0072758	FBgn0013753	Bgb-RA	chr3L:1640637-1640756	+	40
FBtr0072885	FBgn0035329	DmsR-2-RA	chr3L:2300047-2300523	+	159
FBtr0072887	FBgn0035331	DmsR-1-RA	chr3L:2344118-2344351	+	78
FBtr0073024	FBgn0012049	BtbVII-RA	chr3L:3153534-3153752	+	73
FBtr0073131	FBgn0005640	Eip63E-RD	chr3L:3607567-3607614	+	16
FBtr0073156	FBgn0013751	Awh-RB	chr3L:3860953-3860988	+	12
FBtr0073158	FBgn0035469	CG14977-RA	chr3L:3897356-3897487	+	44
FBtr0073279	FBgn0024179	wit-RA	chr3L:4065214-4065243	-	10
FBtr0073293	FBgn0035540	Syx17-RA	chr3L:4404849-4404983	+	45
FBtr0073437	FBgn0030269	CG18292-RA	chrX:11032936-11032977	+	14
FBtr0073485	FBgn0001624	dlg1-RD	chrX:11300212-11300334	+	41
FBtr0073522	FBgn0004370	Ptp10D-RB	chrX:11568015-11569059+chrX:11569364-11569395	+	359
FBtr0073567	FBgn0030345	CG1847-RA	chrX:11764466-11764531	+	22
FBtr0073731	FBgn0004456	mew-RA	chrX:13109359-13109649	-	97
FBtr0073749	FBgn0010303	hep-RB	chrX:12974435-12974461	-	9
FBtr0073803	FBgn0086674	Tango13-RB	chrX:13484408-13484449	+	14
FBtr0073993	FBgn0030613	rab3-GEF-RA	chrX:15006076-15006252	+	59
FBtr0074008	FBgn0026428	HDAC6-RA	chrX:15234049-15234201	+	51
FBtr0074026	FBgn0030617	CG9095-RA	chrX:15035283-15035321	-	13
FBtr0074289	FBgn0030761	CG9784-RA	chrX:16490716-16490748	-	11
FBtr0074298	FBgn0003036	para-RA	chrX:16357779-16357820	-	14
FBtr0074412	FBgn0030812	CG8949-RA	chrX:16964308-16964385	-	26
FBtr0074434	FBgn0030842	CG8557-RA	chrX:17351939-17352253	-	105
FBtr0074510	FBgn0030891	dik-RA	chrX:17981616-17981711	+	32
FBtr0074650	FBgn0052541	CG32541-RA	chrX:18907382-18907432+chrX:18919648-18920091	+	165
FBtr0074668	FBgn0030992	CG33253-RA	chrX:19080807-19080947	+	47
FBtr0074727	FBgn0000257	car-RB	chrX:19462351-19462416	+	22
FBtr0075028	FBgn0016797	fz2-RB	chr3L:19136966-19137301	-	112
FBtr0075031	FBgn0036851	CG14082-RA	chr3L:19100204-19100374	-	57
FBtr0075035	FBgn0036844	Mkp3-RB	chr3L:19061754-19062011	-	86
FBtr0075196	FBgn0036746	TORC-RA	chr3L:17655050-17655325	-	92
FBtr0075318	FBgn0000414	Dab-RA	chr3L:16716442-16716849	+	136
FBtr0075393	FBgn0026208	mbf1-RA	chr3L:16568970-16569098	+	43
FBtr0075518	FBgn0259824	Hip14-RA	chr3L:15983958-15984011	+	18
FBtr0075523	FBgn0000212	brm-RC	chr3L:15963417-15963476	-	20
FBtr0075553	FBgn0000565	Eip71CD-RA	chr3L:15506131-15506175	+	15
FBtr0075743	FBgn0001085	fz-RA	chr3L:14360381-14360473	+	31
FBtr0075747	FBgn0042630	Sox21b-RA	chr3L:14106076-14106123	-	16
FBtr0075748	FBgn0036411	Sox21a-RA	chr3L:14097297-14097353	-	19
FBtr0075793	FBgn0026376	Rgl-RA	chr3L:13900867-13900923	-	19
FBtr0075832	FBgn0023095	caps-RA	chr3L:13270412-13271131	+	240
FBtr0075890	FBgn0010452	trn-RA	chr3L:13110612-13110653	+	14
FBtr0075911	FBgn0014343	mirr-RA	chr3L:12702057-12702179	+	41
FBtr0076166	FBgn0036149	CG18490-RB	chr3L:11220810-11220842	+	11
